CD_MUN,NM_MUN,cod_MunCost
4323804,Xangri-lá,4323804
4323002,Viamão,4323002
4322327,Turuçu,4322327
4321832,Três Forquilhas,4321832
4321667,Três Cachoeiras,4321667
4321600,Tramandaí,4321600
4321501,Torres,4321501
4321436,Terra de Areia,4321436
4321352,Tavares,4321352
4321105,Tapes,4321105
4318804,São Lourenço do Sul,4318804
4318507,São José do Norte,4318507
4317608,Santo Antônio da Patrulha,4317608
4317301,Santa Vitória do Palmar,4317301
4315602,Rio Grande,4315602
4314407,Pelotas,4314407
4313656,Palmares do Sul,4313656
4313508,Osório,4313508
4312500,Mostardas,4312500
4312443,Morrinhos do Sul,4312443
4311775,Maquiné,4311775
4311734,Mampituba,4311734
4311007,Jaguarão,4311007
4310652,Itati,4310652
4310330,Imbé,4310330
4306551,Dom Pedro de Alcântara,4306551
4306056,Cristal,4306056
4305454,Cidreira,4305454
4305439,Chuí,4305439
4304671,Capivari do Sul,4304671
4304663,Capão do Leão,4304663
4304630,Capão da Canoa,4304630
4303509,Camaquã,4303509
4301909,Barra do Ribeiro,4301909
4301636,Balneário Pinhal,4301636
4301305,Arroio Grande,4301305
4301073,Arroio do Padre,4301073
4301057,Arroio do Sal,4301057
4300851,Arambaré,4300851
4220000,Balneário Rincão,4220000
4218707,Tubarão,4218707
4218004,Tijucas,4218004
4217709,Sombrio,4217709
4216602,São José,4216602
4216404,São João do Sul,4216404
4216206,São Francisco do Sul,4216206
4215653,Santa Rosa do Sul,4215653
4213500,Porto Belo,4213500
4212809,Balneário Piçarras,4212809
4212650,Pescaria Brava,4212650
4212502,Penha,4212502
4212304,Paulo Lopes,4212304
4212254,Passo de Torres,4212254
4211900,Palhoça,4211900
4211306,Navegantes,4211306
4210407,Maracajá,4210407
4209409,Laguna,4209409
4209102,Joinville,4209102
4208807,Jaguaruna,4208807
4208450,Itapoá,4208450
4208302,Itapema,4208302
4208203,Itajaí,4208203
4207304,Imbituba,4207304
4207205,Imaruí,4207205
4207007,Içara,4207007
4206009,Governador Celso Ramos,4206009
4205803,Garuva,4205803
4205704,Garopaba,4205704
4205407,Florianópolis,4205407
4203956,Capivari de Baixo,4203956
4203204,Camboriú,4203204
4202453,Bombinhas,4202453
4202305,Biguaçu,4202305
4202107,Barra Velha,4202107
4202073,Balneário Gaivota,4202073
4202057,Balneário Barra do Sul,4202057
4202008,Balneário Camboriú,4202008
4201950,Balneário Arroio do Silva,4201950
4201406,Araranguá,4201406
4201307,Araquari,4201307
4119954,Pontal do Paraná,4119954
4118204,Paranaguá,4118204
4116208,Morretes,4116208
4115705,Matinhos,4115705
4109609,Guaratuba,4109609
4109500,Guaraqueçaba,4109500
4101200,Antonina,4101200
3555406,Ubatuba,3555406
3551009,São Vicente,3551009
3550704,São Sebastião,3550704
3548500,Santos,3548500
3541000,Praia Grande,3541000
3537602,Peruíbe,3537602
3531100,Mongaguá,3531100
3522109,Itanhaém,3522109
3520426,Ilha Comprida,3520426
3520400,Ilhabela,3520400
3520301,Iguape,3520301
3518701,Guarujá,3518701
3513504,Cubatão,3513504
3510500,Caraguatatuba,3510500
3509908,Cananéia,3509908
3506359,Bertioga,3506359
3305554,Seropédica,3305554
3305505,Saquarema,3305505
3305208,São Pedro da Aldeia,3305208
3305109,São João de Meriti,3305109
3305000,São João da Barra,3305000
3304904,São Gonçalo,3304904
3304755,São Francisco de Itabapoana,3304755
3304557,Rio de Janeiro,3304557
3304524,Rio das Ostras,3304524
3304151,Quissamã,3304151
3303807,Paraty,3303807
3303500,Nova Iguaçu,3303500
3303302,Niterói,3303302
3303203,Nilópolis,3303203
3302858,Mesquita,3302858
3302700,Maricá,3302700
3302601,Mangaratiba,3302601
3302502,Magé,3302502
3302403,Macaé,3302403
3302007,Itaguaí,3302007
3301900,Itaboraí,3301900
3301876,Iguaba Grande,3301876
3301850,Guapimirim,3301850
3301702,Duque de Caxias,3301702
3301306,Casimiro de Abreu,3301306
3301009,Campos dos Goytacazes,3301009
3300936,Carapebus,3300936
3300704,Cabo Frio,3300704
3300456,Belford Roxo,3300456
3300258,Arraial do Cabo,3300258
3300233,Armação dos Búzios,3300233
3300209,Araruama,3300209
3300100,Angra dos Reis,3300100
3205309,Vitória,3205309
3205200,Vila Velha,3205200
3205101,Viana,3205101
3205010,Sooretama,3205010
3205002,Serra,3205002
3204906,São Mateus,3204906
3204302,Presidente Kennedy,3204302
3204203,Piúma,3204203
3203320,Marataízes,3203320
3203205,Linhares,3203205
3203056,Jaguaré,3203056
3202801,Itapemirim,3202801
3202405,Guarapari,3202405
3202207,Fundão,3202207
3201605,Conceição da Barra,3201605
3201308,Cariacica,3201308
3200607,Aracruz,3200607
3200409,Anchieta,3200409
2933208,Vera Cruz,2933208
2932903,Valença,2932903
2932705,Uruçuca,2932705
2932507,Una,2932507
2931202,Taperoá,2931202
2930709,Simões Filho,2930709
2929750,Saubara,2929750
2929503,São Sebastião do Passé,2929503
2929206,São Francisco do Conde,2929206
2929008,São Félix,2929008
2928604,Santo Amaro,2928604
2928059,Santa Luzia,2928059
2927705,Santa Cruz Cabrália,2927705
2927408,Salvador,2927408
2927309,Salinas da Margarida,2927309
2925501,Prado,2925501
2925303,Porto Seguro,2925303
2925204,Pojuca,2925204
2923001,Nova Viçosa,2923001
2922607,Nilo Peçanha,2922607
2922508,Nazaré,2922508
2922003,Mucuri,2922003
2921005,Mata de São João,2921005
2920700,Maraú,2920700
2920601,Maragogipe,2920601
2919926,Madre de Deus,2919926
2919207,Lauro de Freitas,2919207
2917904,Jandaíra,2917904
2917805,Jaguaripe,2917805
2917300,Ituberá,2917300
2916104,Itaparica,2916104
2915908,Itanagra,2915908
2914901,Itacaré,2914901
2914802,Itabuna,2914802
2913606,Ilhéus,2913606
2913457,Igrapiúna,2913457
2910602,Esplanada,2910602
2910503,Entre Rios,2910503
2910057,Dias d'Ávila,2910057
2908606,Conde,2908606
2907509,Catu,2907509
2907004,Cardeal da Silva,2907004
2906907,Caravelas,2906907
2906501,Candeias,2906501
